한자,뜻,음
廊,사랑채,낭
廊,행랑,랑
廊,행랑,낭
朗,밝다,랑
朗,밝다,낭
萊,명아주,래
萊,명아주,내
來,오다,래
來,오다,내
冷,차다,랭
冷,차다,냉
掠,노략질하다,략
略,간략하다,량
略,약하다,량
粱,기장,량
倆,재주,량
樑,들보,량
亮,밝다,량
輛,수레,량
諒,살펴 알다,량
諒,믿다,량
梁,들보,량
梁,돌다리,량
涼,서늘하다,량
糧,양식,량
兩,두,량
良,어질다,량
量,헤아리다,량
濾,거르다,려
黎,검다,려
閭,마을,려
戾,어그러지다,려
侶,짝,려
驪,검은 말,려
驪,검은 말,리
廬,오두막집,려
呂,법칙,려
呂,성씨,려
礪,숫돌,려
勵,힘쓰다,려
慮,생각하다,려
麗,곱다,려
旅,나그네,려
瀝,스미다,력
礫,조약돌,력
曆,책력,력
歷,지나다,력
力,힘,력
輦,가마,련
煉,달구다,련
漣,잔물결,련
憐,불쌍히여기다,련
戀,그리워하다,련
戀,그리다,련
鍊,쇠를 불리다,련
鍊,단련하다,련
蓮,연꽃,련
聯,연잇다,련
連,잇다,련
練,익히다,련
劣,못하다,렬
裂,찢어지다,렬
烈,맵다,렬
列,벌리다,렬
斂,거두다,렴
簾,발,렴
殮,염하다,렴
濂,물이름,렴
廉,청렴하다,렴
獵,사냥,렵
齡,나이,령
鈴,방울,령
囹,옥,령
逞,쾌하다,령
玲,옥소리,령
零,떨어지다,령
零,영,령
嶺,고개,령
靈,신령,령
領,거느리다,령
令,하여금,령
醴,단술,례
隷,종,례
例,법식,례
禮,예도,례
撈,건지다,로
撈,건지다,노
擄,노략질하다,로
擄,노략질하다,노
虜,사로잡다,로
虜,사로잡다,노
蘆,갈대,로
蘆,갈대,노
魯,노나라,로
魯,노나라,노
魯,노둔하다,로
魯,노둔하다,노
盧,성씨,로
盧,성씨,노
鷺,해오라기,로
鷺,해오라기,노
鷺,백로,로
鷺,백로,노
露,이슬,로
露,이슬,노
爐,화로,로
爐,화로,노
勞,일하다,로
勞,일하다,노
路,길,로
路,길,노
老,늙다,로
老,늙다,노
麓,산기슭,록
麓,산기슭,녹
碌,푸른 돌,록
碌,푸른 돌,녹
鹿,사슴,록
鹿,사슴,녹
祿,녹,록
祿,녹,녹
錄,기록하다,록
錄,기록하다,녹
綠,푸르다,록
綠,푸르다,녹
論,논하다,론
論,논하다,논
聾,귀먹다,롱
聾,귀먹다,농
壟,밭도둑,롱
壟,밭도둑,농
瓏,옥소리,롱
瓏,옥소리,농
籠,대바구니,롱
籠,대바구니,농
弄,희롱하다,롱
弄,희롱하다,농
儡,꼭두각시,뢰
儡,꼭두각시,뇌
賂,뇌물,뢰
賂,뇌물,뇌
磊,돌무더기,뢰
磊,돌무더기,뇌
牢,우리,뢰
牢,우리,뇌
雷,우레,뢰
雷,우레,뇌
賴,의뢰하다,뢰
賴,의뢰하다,뇌
寮,동관,료
瞭,밝다,료
聊,애오라지,료
燎,횃불,료
遼,멀다,료
療,병을 고치다,료
僚,동료,료
寥,쓸쓸하다,료
了,마치다,료
料,헤아리다,료
龍,용,룡
陋,더럽다,루
陋,더럽다,누
壘,보루,루
壘,보루,누
淚,눈물,루
淚,눈물,누
屢,여러,루
屢,여러,누
樓,다락,루
樓,다락,누
漏,새다,루
漏,새다,누
累,여러,루
累,여러,누
累,자루,루
累,자루,누
琉,유리,류
溜,처마물,류
瘤,혹,류
謬,그르치다,류
硫,유황,류
劉,죽이다,류
劉,성씨,류
柳,버들나무,류
留,머무르다,류
類,무리,류
流,흐르다,류
戮,죽이다,륙
陸,땅,륙
六,여섯,륙
綸,벼리,륜
淪,빠지다,륜
崙,산이름,륜
倫,인륜,륜
輪,바퀴,륜
慄,떨리다,률
栗,밤,률
率,비율,률
率,거느리다,솔
律,법칙,률
隆,높다,륭
肋,갈빗대,륵
肋,갈빗대,늑
勒,굴레,륵
勒,굴레,늑
凜,차다,름
凜,차다,늠
菱,마름,릉
菱,마름,능
稜,모나다,릉
稜,모나다,능
綾,비단,릉
綾,비단,능
凌,업신여기다,릉
凌,업신여기다,능
楞,네모지다,릉
楞,네모지다,능
陵,언덕,릉
陵,언덕,능
罹,걸리다,리
釐,다스리다,리
裡,속,리
俚,속되다,리
悧,영리하다,리
籬,울타리,리
痢,이질,리
梨,배나무,리
履,밟다,리
吏,벼슬아치,리
吏,관리,리
裏,속,리
離,떠나다,리
