한자,뜻,음
瘡,부스럼,창
脹,붓다,창
愴,슬프다,창
槍,창,창
娼,창녀,창
菖,창포,창
彰,드러나다,창
敞,시원하다,창
滄,큰 바다,창
昶,해 길다,창
暢,화창하다,창
倉,곳집,창
昌,창성하다,창
蒼,푸르다,창
創,비롯하다,창
唱,부르다,창
窓,창,창
寨,목책,채
埰,사패지,채
蔡,성씨,채
采,풍채,채
菜,나물,채
債,빚,채
彩,채색,채
採,캐다,채
柵,울타리,책
策,꾀,책
冊,책,책
責,꾸짖다,책
凄,쓸쓸하다,처
悽,슬퍼하다,처
妻,아내,처
處,곳,처
擲,던지다,척
脊,등마루,척
滌,씻다,척
瘠,여위다,척
陟,오르다,척
隻,외짝,척
斥,물리치다,척
拓,넓히다,척
拓,박다,탁
尺,자,척
戚,친척,척
穿,뚫다,천
擅,멋대로하다,천
闡,밝히다,천
喘,숨차다,천
釧,팔찌,천
薦,천거하다,천
踐,밟다,천
淺,얕다,천
遷,옮기다,천
賤,천하다,천
泉,샘,천
川,내,천
千,일천,천
天,하늘,천
轍,바퀴자국,철
凸,볼록하다,철
綴,엮다,철
撤,거두다,철
澈,맑다,철
喆,밝다,철
喆,쌍길,철
哲,밝다,철
徹,통하다,철
鐵,쇠,철
僉,다,첨
僉,여러,첨
諂,아첨하다,첨
籤,제비,첨
瞻,보다,첨
添,더하다,첨
尖,뾰족하다,첨
疊,거듭,첩
帖,문서,첩
貼,붙이다,첩
捷,빠르다,첩
牒,편지,첩
諜,염탐하다,첩
妾,첩,첩
晴,개다,첩
廳,관청,청
聽,듣다,청
請,청하다,청
淸,맑다,청
靑,푸르다,청
涕,눈물,체
諦,살피다,체
締,맺다,체
遞,갈리다,체
替,바꾸다,체
逮,잡다,체
滯,막히다,체
體,몸,체
梢,나무 끝,초
樵,나무하다,초
貂,담비,초
炒,볶다,초
礁,암초,초
稍,점점,초
醋,식초,초
憔,파리하다,초
蕉,파초,초
硝,화약,초
哨,망보다,초
楚,초나라,초
焦,타다,초
秒,까끄라기,초
抄,뽑다,초
肖,닮다,초
肖,같다,초
超,뛰어넘다,초
礎,주춧돌,초
招,부르다,초
初,처음,초
草,풀,초
囑,부탁하다,촉
蜀,나라이름,촉
燭,촛불,촉
觸,닿다,촉
促,재촉하다,촉
忖,헤아리다,촌
村,마을,촌
寸,마디,촌
叢,떨기,총
叢,모이다,총
塚,무덤,총
寵,사랑하다,총
聰,귀가 밝다,총
總,다,총
銃,총,총
撮,모으다,촬
撮,사진을 찍다,촬
崔,성씨,최
崔,높다,최
催,재촉하다,최
最,가장,최
芻,꼴,추
墜,떨어지다,추
鰍,미꾸라지,추
錐,송곳,추
鎚,쇠망치,추
椎,쇠몽치,추
椎,쇠골,추
酋,우두머리,추
錘,저울추,추
樞,지도리,추
楸,가래,추
趨,달아나다,추
鄒,추나라,추
抽,뽑다,추
醜,추하다,추
追,쫓다,추
追,따르다,추
推,밀다,추
秋,가을,추
軸,굴대,축
蹴,차다,축
丑,소,축
逐,쫓다,축
畜,짐승,축
縮,줄이다,축
蓄,모으다,축
築,쌓다,축
祝,빌다,축
椿,참죽나무,춘
春,봄,춘
黜,내치다,출
出,나다,출
衷,속마음,충
沖,화하다,충
衝,찌르다,충
蟲,벌레,충
忠,충성,충
充,채우다,충
萃,모으다,췌
膵,췌장,췌
悴,파리하다,췌
贅,혹,췌
脆,연하다,취
娶,장가들다,취
翠,푸르다,취
翠,물총새,취
聚,모으다,취
炊,불을 때다,취
臭,냄새,취
吹,불다,취
醉,취하다,취
就,나아가다,취
趣,뜻,취
取,가지다,취
惻,슬프다,측
側,곁,측
測,헤아리다,측
層,층,층
幟,기,치
馳,달리다,치
嗤,비웃다,치
緻,빽빽하다,치
侈,사치하다,치
熾,성하다,치
癡,어리석다,치
痔,치질,치
雉,꿩,치
峙,언덕,치
値,값,치
恥,부끄럽다,치
稚,어리다,치
治,다스리다,치
置,두다,치
齒,이,치
致,이르다,치
勅,칙서,칙
則,법칙,칙
則,곧,즉
親,친하다,친
漆,옻,칠
七,일곱,칠
砧,다듬잇돌,침
鍼,침,침
枕,베개,침
沈,잠기다,침
沈,성씨,심
浸,잠기다,침
針,바늘,침
寢,자다,침
侵,침노하다,침
蟄,숨다,칩
秤,저울,칭
稱,일컫다,칭
快,쾌하다,쾌
惰,게으르다,타
楕,길고 둥글다,타
駝,낙타,타
陀,비탈지다,타
陀,부처,타
唾,침,타
舵,키,타
墮,떨어지다,타
妥,온당하다,타
他,다르다,타
打,치다,타
鐸,방울,탁
擢,뽑다,탁
琢,다듬다,탁
託,부탁하다,탁
托,맡기다,탁
濯,씻다,탁
濁,흐리다,탁
卓,높다,탁
憚,꺼리다,탄
呑,삼키다,탄
綻,터지다,탄
坦,평탄하다,탄
灘,여울,탄
誕,낳다,탄
誕,거짓,탄
歎,탄식하다,탄
彈,탄알,탄
炭,숯,탄
奪,빼앗다,탈
脫,벗다,탈
眈,노려보다,탐
耽,즐기다,탐
貪,탐내다,탐
探,찾다,탐
搭,타다,탑
塔,탑,탑
蕩,방탕하다,탕
宕,호탕하다,탕
湯,끓다,탕
跆,밟다,태
笞,볼기를 치다,태
苔,이끼,태
汰,미끄러지다,태
兌,바꾸다,태
兌,기쁘다,태
台,별,태
胎,아이를 배다,태
颱,태풍,태
怠,게으르다,태
殆,거의,태
泰,크다,태
態,모습,태
太,크다,태
澤,못,택
擇,가리다,택
宅,집,택
撐,버리다,탱
攄,펴다,터
兔,토끼,토
吐,토하다,토
討,치다,토
土,흙,토
慟,서러워하다,통
桶,통,통
筒,통,통
痛,아프다,통
統,거느리다,통
通,통하다,통
腿,넓적다리,퇴
頹,무너지다,퇴
褪,바래다,퇴
堆,쌓다,퇴
槌,치다,추
槌,방망이,퇴
退,물러나다,퇴
妬,샘내다,투
套,씌우다,투
透,사무치다,투
投,던지다,투
鬪,싸움,투
慝,사특하다,특
特,특별하다,특
爬,긁다,파
巴,꼬리,파
琶,비파,파
跛,절름발이,파
跛,비스듬히 서다,피
芭,파초,파
婆,할머니,파
坡,언덕,파
罷,마치다,파
播,뿌리다,파
頗,자못,파
把,잡다,파
派,갈래,파
破,깨뜨리다,파
波,물결,파
辦,힘들이다,판
阪,언덕,판
販,팔다,판
版,판목,판
判,판단하다,판
板,널,판
八,여덟,팔
悖,거스르다,패
沛,비가 쏟아지다,패
唄,염불 소리,패
佩,차다,패
牌,패,패
稗,피,패
霸,으뜸,패
貝,조개,패
敗,패하다,패
澎,물소리,팽
膨,불다,팽
彭,성씨,팽
愎,강퍅하다,퍅
騙,속이다,편
鞭,채찍,편
扁,작다,편
遍,두루,편
編,엮다,편
片,조각,편
偏,치우치다,편
篇,책,편
便,편하다,편
便,똥오줌,변
貶,낮추다,폄
萍,부평초,평
坪,들,평
評,평하다,평
平,평평하다,평
陛,대궐 섬돌,폐
斃,죽다,폐
蔽,덮다,폐
幣,화폐,폐
弊,폐단,폐
弊,해지다,폐
廢,폐하다,폐
廢,버리다,폐
肺,허파,폐
閉,닫다,폐
泡,거품,포
咆,고함지르다,포
褒,기리다,포
匍,길,포
逋,도망가다,포
袍,도포,포
哺,먹이다,포
疱,물집,포
蒲,부들,포
庖,부엌,포
圃,채마밭,포
脯,포,포
抛,던지다,포
怖,두려워하다,포
鮑,절인 물고기,포
鋪,펴다,포
鋪,가게,포
葡,포도,포
飽,배부르다,포
抱,안다,포
浦,물가,포
捕,잡다,포
胞,세포,포
砲,대포,포
布,베,포
布,펴다,포
布,보시,보
包,싸다,포포
曝,쪼이다,폭
曝,쪼이다,포
瀑,폭포,폭
瀑,소나기,포
幅,폭,폭
爆,불이 터지다,폭
暴,사납다,폭
暴,모질다,포
剽,겁박하다,표
慓,급하다,표
飄,나부끼다,표
豹,표범,표
杓,복두 자루,표
漂,떠다니다다,표
標,표하다,표
票,표,표
表,겉,표
稟,여쭙다,품
品,물건,품
諷,풍자하다,풍
楓,단풍,풍
豊,풍년,풍
風,바람,풍
披,헤치다,피
皮,가죽,피
被,입다,피
彼,저,피
疲,피곤하다,피
避,피하다,피
疋,필,필
弼,돕다,필
匹,짝,필
畢,마치다,필
必,반드시,필
筆,붓,필
乏,모자라다,핍
逼,핍박하다,핍
霞,노을,하
蝦,두꺼비,하
蝦,새우,하
遐,멀다,하
瑕,허물,하
荷,메다,하
何,어찌,하
賀,하례하다,하
河,물,하
下,아래,하
夏,여름,하
壑,구렁,학
瘧,말라리아,학
謔,희롱하다,학
虐,모질다,학
鶴,학,학
學,배우다,학
罕,드물다,한
澣,빨래하다,한
澣,열흘,한
悍,사납다,한
翰,편지,한
旱,가물다,한
汗,땀,한
邯,조나라 서울,한
邯,사람 이름,감
恨,한,한
閑,한가하다,한
限,한하다,한
寒,차다,한
漢,한수,한
漢,한나라,한
韓,한국,한
韓,나라,한
轄,다스리다,할
割,베다,할
檻,난간,함
緘,봉하다,함
喊,소리치다,함
銜,재갈,함
涵,젖다,함
鹹,짜다,함
函,함,함
艦,큰 배,함
咸,다,함
含,머금다,함
陷,빠지다,함
蛤,조개,합
盒,합,합
合,합하다,합
肛,항문,항
缸,항아리,항
沆,넓다,항
亢,높다,항
巷,거리,항
項,항목,항
恒,항상,항
抗,겨루다,항
航,배,항
港,항구,항
懈,게으르다,해
咳,기침,해
駭,놀라다,해
楷,본보기,해
骸,뼈,해
邂,우연히 만나다,해
偕,함께,해
諧,화하다,해
該,갖추다,해
該,마땅하다,해
亥,돼지,해
奚,어찌,해
解,풀다,해
害,해하다,해
海,바다,해
劾,꾸짖다,핵
核,씨,핵
杏,살구,행
行,다닐,행
行,항렬,항
幸,다행,행
嚮,길잡다,향
饗,잔치하다,향
享,누리다,향
響,울리다,향
鄕,시골,향
香,향기,향
向,향하다,향
噓,불다,허
墟,터,허
虛,비다,허
許,허락하다,허
軒,집,헌
獻,드리다,헌
憲,법,헌
歇,쉬다,헐
險,험하다,험
驗,시험하다,험
爀,불빛,혁
赫,빛나다,혁
革,가죽,혁
絢,무늬,현
眩,어지럽다,현
衒,자랑하다,현
峴,고개,현
炫,밝다,현
鉉,솥귀,현
弦,활시위,현
縣,고을,현
絃,줄,현
玄,검다,현
懸,달다,현
顯,나타나다,현
賢,어질다,현
現,나타나다,현
穴,굴,혈
血,피,혈
嫌,싫어하다,혐
挾,끼다,협
頰,뺨,협
俠,의기롭다,협
狹,좁다,협
峽,골짜기,협
脅,위협하다,협
協,화합하다,협
陜,좁다,협
陜,땅이름,합
荊,가시,형
馨,꽃답다,형
型,모형,형
瀅,물이 맑다,형
瑩,밝다,형
瑩,옥돌,영
炯,빛나다,형
邢,성씨,형
螢,반딧불,형
亨,형통하다,형
衡,저울대,형
刑,형벌,형
形,모양,형
兄,형,형
彗,살별,혜
醯,식혜,혜
兮,어조사,혜
慧,슬기롭다,혜
惠,은혜,혜
瑚,산호,호
狐,여우,호
糊,풀칠하다,호
琥,호박,호
弧,활,호
澔,넓다,호
扈,따르다,호
晧,밝다,호
祜,복,호
昊,하늘,호
壕,해자,호
鎬,호경,호
濠,호주,호
皓,희다,호
互,서로,호
乎,어조사,호
毫,터럭,호
浩,넓다,호
胡,오랑캐,호
虎,범,호
豪,호걸,호
護,돕다,호
呼,부르다,호
好,좋다,호
戶,집,호
湖,호수,호
號,이름,호
酷,심하다,혹
惑,미혹하다,혹
或,혹,혹
渾,흐리다,혼
昏,어둡다,혼
魂,넋,혼
混,섞다,혼
婚,혼인하다,혼
笏,홀,홀
惚,황홀하다,홀
忽,갑자기,홀
哄,떠들썩하다,홍
虹,무지개,홍
訌,어지럽다,홍
泓,물이 깊다,홍
鴻,기러기,홍
弘,크다,홍
洪,넓다,홍
紅,붉다,홍
樺,벚나무,화
樺,자작나무,화
靴,신발,화
嬅,탐스럽다,화
禾,벼,화
禍,재앙,화
華,빛나다,화
貨,재물,화
化,되다,화
畫,그림,화
畫,긋다,획
和,화하다,화
花,꽃,화
話,말씀,화
火,불,화
穫,거두다,확
擴,넓히다,확
確,굳다,확
驩,기뻐하다,환
宦,벼슬,환
喚,부르다,환
鰥,홀아비,환
桓,굳세다,환
煥,빛나다,환
幻,헛보이다,환
丸,둥글다,환
還,돌아오다,환
換,바꾸다,환
環,고리,환
歡,기쁘다,환
患,근심,환
猾,교활하다,활
闊,넓다,활
滑,미끄럽다,활
滑,익살스럽다,골
活,살다,활
遑,급하다,황
惶,두렵다,황
凰,봉황,황
煌,빛나다,황
慌,어리둥절하다,황
徨,헤매다,황
恍,황홀하다,황
滉,깊다,황
晃,밝다,황
荒,거칠다,황
皇,임금,황
況,상황,황
黃,누르다,황
誨,가르치다,회
繪,그림,회
晦,그믐,회
恢,넓다,회
徊,머뭇거리다,회
賄,재물,회
賄,뇌물,회
膾,회,회
蛔,회충,회
廻,돌다,회
淮,물이름,회
檜,전나무,회
悔,뉘우치다,회
懷,품다,회
灰,재,회
回,돌아오다,회
會,모이다,회
劃,긋다,획
獲,얻다,획
橫,가로,횡
爻,사귀다,효
爻,가로긋다,효
酵,삭히다,효
哮,성내다,효
嚆,울리다,효
曉,새벽,효
效,본받다,효
孝,효도,효
逅,만나다,후
嗅,맡다,후
朽,썩다,후
吼,울부짖다,후
喉,목구멍,후
后,임금,후
后,왕후,후
侯,제후,후
候,기후,후
厚,두텁다,후
後,뒤,후
暈,무리,훈
勳,공,훈
熏,불길,훈
壎,질나발,훈
薰,향풀,훈
訓,가르치다,훈
喧,지껄이다,훼
喙,부리,훼
卉,풀,훼
毁,헐다,훼
麾,기,휘
彙,무리,휘
諱,숨기다,휘
諱,꺼리다,휘
徽,아름답다,휘
輝,빛나다,휘
揮,휘두르다,휘
烋,아름답다,휴
携,이끌다,휴
休,쉬다,휴
恤,불쌍하다,휼
洶,용솟음치다,흉
兇,흉악하다,흉
匈,오랑캐,흉
胸,가슴,흉
凶,흉하다,흉
黑,검다,흑
欣,기쁘다,흔
痕,흔적,흔
欠,하품,흠
歆,흠향하다,흠
欽,공경하다,흠
恰,흡사하다,흡
洽,흡족하다,흡
吸,마시다,흡
興,일다,흥
犧,희생하다,희
姬,계집,희
憙,기뻐하다,희
禧,복,희
羲,복희,희
熹,빛나다,희
熙,빛나다,희
嬉,아름답다,희
噫,한숨을 쉬다,희
戲,놀이,희
稀,드물다,희
喜,기쁘다,희
希,바라다,희
詰,꾸짖다,힐
